case,name,condition_1,condition_2
Covid_vaccination_pre_throughput,pre-25,0.32767340077749074,0.40178135667418075
Covid_vaccination_pre_throughput,pre-38,0.14701083396165057,0.20274112694275323
Covid_vaccination_pre_throughput,pre-53,0.14356507518708392,0.21469886267194938
Covid_vaccination_pre_throughput,pre-1,0.15319670949106895,0.2368259049776527
Covid_vaccination_pre_throughput,pre-6,0.3035315314479396,0.3368104845171052
Covid_vaccination_pre_throughput,pre-5,0.31093855942652104,0.39495714471461674
Covid_vaccination_pre_throughput,pre-22,0.31188760025284124,0.5014194607730338
Covid_vaccination_pre_throughput,pre-41,0.1643656207530341,0.14132425660701037
Covid_vaccination_pre_throughput,pre-8,0.2971017471697644,0.4424193466413704
Covid_vaccination_pre_throughput,pre-4,0.2493556918584081,0.2898473191768321
Covid_vaccination_pre_throughput,pre-42,0.4002119823930615,0.7657690846745937
Covid_vaccination_pre_throughput,pre-18,0.27408085848880226,0.2581465019436152
Covid_vaccination_pre_throughput,pre-34,0.18144769490216028,0.24031365612891478
Covid_vaccination_pre_throughput,pre-23,0.20347356625085905,0.22413597491469459
Covid_vaccination_pre_throughput,pre-32,0.39650637927167137,0.6201559146825122
Covid_vaccination_pre_throughput,pre-10,0.3457393020166799,0.5604832783407876
Covid_vaccination_pre_throughput,pre-19,0.2187068582327117,0.2511026071087988
Covid_vaccination_pre_throughput,pre-36,0.332442301523202,0.46400493972037127
Covid_vaccination_pre_throughput,pre-21,0.2758095887846119,0.5057368689444018
Covid_vaccination_pre_throughput,pre-26,0.29271011008207964,0.4547500962238387
Covid_vaccination_pre_throughput,pre-35,0.26660896509961896,0.315484847830109
Covid_vaccination_pre_throughput,pre-11,0.2896895501367903,0.33612009946278576
Covid_vaccination_pre_throughput,pre-17,0.16860956849456785,0.21453501708790784
Covid_vaccination_pre_throughput,pre-50,0.3901290177108034,0.3927213386485031
Covid_vaccination_pre_throughput,pre-27,0.3597452614315775,0.5517755439486673
Covid_vaccination_pre_throughput,pre-40,0.30264345460474484,0.3617138693468208
Covid_vaccination_pre_throughput,pre-39,0.3533112517630397,0.43732274106889396
Covid_vaccination_pre_throughput,pre-49,0.15705915113329397,0.19834232961955026
Covid_vaccination_pre_throughput,pre-30,0.3689532446778782,0.4052788417883051
Covid_vaccination_pre_throughput,pre-29,0.2772144249890298,0.2714060436150264
Covid_vaccination_pre_throughput,pre-14,0.2160344522259403,0.20516511885942204
Covid_vaccination_pre_throughput,pre-44,0.5434238795049928,0.5650766578040166
Covid_vaccination_pre_throughput,pre-15,0.316971937973358,0.5851613576204678
Covid_vaccination_pre_throughput,pre-33,0.31036067565793374,0.2942777758111641
Covid_vaccination_pre_throughput,pre-43,0.272320617516709,0.3814768797661264
Covid_vaccination_pre_throughput,pre-7,0.2713767419950822,0.4252004625861435
AD,SNUBH-37-1,0.37840234027733266,0.6081911764437082
AD,SNUBH-21-1,0.5514681903667814,0.557342515157813
AD,SNUBH-17-1,0.35562468488490667,0.44749443369575836
AD,SNUBH-3-1,0.3827906185680999,0.5372412102813715
AD,SNUBH-22-1,0.45431576476425795,0.5270503895038029
AD,SNUBH-24-1,0.5421691082429947,0.5101010914760041
AD,SNUBH-14-1,0.3424783956891414,0.39318443477480897
AD,SNUBH-38-1,0.43431837367336745,0.5161155913426329
AD,SNUBH-10-1,0.3188608565514858,0.431454196989271
AD,SNUBH-35-1,0.2865824838284937,0.36518930358321156
AD,SNUBH-9-1,0.4447328382795003,0.5649152989148992
AD,SNUBH-19-1,0.2331909588378807,0.3081071695001773
AD,SNUBH-41-1,0.17799092313515696,0.2326571251090329
AD,SNUBH-30-1,0.47406890341227514,0.5605348767788686
AD,SNUBH-8-1,0.5176833811583975,0.5937129441060361
AD,SNUBH-28-1,0.4172489923335188,0.473378646275831
AD,SNUBH-29-1,0.3992818914244126,0.4940611037740269
AD,SNUBH-11-1,0.3689705746096935,0.40258010383566284
AD,SNUBH-2-1,0.6322675377236059,0.6446343736606155
AD,SNUBH-44-1,0.19993209541359483,0.3075228085569527
AD,SNUBH-15-1,0.28120925966552,0.3174173126912987
AD,SNUBH-43-1,0.20031025740299555,0.2936553463037327
AD,SNUBH-1-1,0.2718514826981982,0.31376971515378865
AD,SNUBH-31-1,0.35426924725943953,0.3562698158953211
Covid,K,0.7185631317859266,0.6557433471562281
Covid,B_d19,0.42853808279763467,0.5850805436483308
Covid,C_d15,0.5370258069459901,0.5776694979248973
Covid,H,0.7423581524815702,0.7283282292996449
Covid,A_d11,0.6903082862209982,0.7674007084535308
Covid,N,0.5482075331515087,0.6365010482783369
Covid,E_d23,0.7158229449182285,0.7144650644108659
Covid,L,0.48298736364677325,0.5274142741122548
Covid,Q,0.7498378377836498,0.6814299115701847
Covid,D_d6,0.6514831537252805,0.615549240845061
Covid,O,0.5430501884430078,0.8072146962749659
Covid,I,0.8493630018938085,0.7783448920868564
Covid,J,0.2940559427590809,0.4226124931571628
Covid,G_d22,0.5747267010011818,0.6600188103552391
Covid,M,0.6257774275970227,0.6955616545743973
Covid,P,0.45027830508226663,0.589251559126162
Covid,F_d14,0.7917209816486639,0.7499351399335258
RA,RA5_RF+,0.3530577271634494,0.6879023481214935
RA,RA12_RF+,0.7397703348625955,0.783501781401417
RA,RA11_RF+,0.24512345612357292,0.3085933043185902
RA,RA13_RF+,0.4233239276829382,0.62987212150011
RA,RA9_RF+,0.37853612463409037,0.612599510920473
RA,RA7_RF+,0.2445322864387304,0.41045914827076563
RA,RA3_RF+,0.5265361907143397,0.6976083395918363
RA,RA14_RF+,0.5158534044347424,0.9160187599979337
RA,RA15_RF+,0.4235522670086746,0.6083921877676811
Sjogren,S17,0.7300697966256137,0.8221174461331703
Sjogren,S5,0.2538764770584569,0.6068613849857745
Sjogren,S19,0.5445310201165159,0.6707580159274655
Sjogren,S13,0.4384518946210343,0.6961724165448059
Sjogren,S14,0.6724085986241917,0.7553332652002235
Sjogren,S2,0.5313312796912371,0.6522066332577501
Sjogren,S12,0.40914864369082593,0.670945313447825
Sjogren,S11,0.44866941173028657,0.5872222168641666
Sjogren,S6,0.5088873822977895,0.5797086152956173
Sjogren,S4,0.3772510028736179,0.5998636808853938
Sjogren,S7,0.7044790459345028,0.7641127504060048
Sjogren,S18,0.6764232180343295,0.7500824778475568
Sjogren,S1,0.3421039676840583,0.5868997132554584
Sjogren,S20,0.5435020367953944,0.5483134631698375
Sjogren,S15,0.5454020241752892,0.7400534894694497
Sjogren,S10,0.462794889097004,0.6037311817390317
Sjogren,S16,0.57163904067069,0.7663517974555446
Sjogren,S3,0.6989386244646798,0.7632493107735407
Sjogren,S9,0.5732111099551468,0.6392116027708654
NMO,NMO_2,0.4886984912069259,0.6597997683646841
NMO,NMO_10,0.7679326830293962,0.757545913744457
NMO,NMO_11,0.8438282611772723,0.8278349871165691
NMO,NMO_5,0.49105603890108157,0.6978720225661744
NMO,NMO_1,0.8266651373851441,0.9217463003352513
NMO,NMO_9,0.6768418431934063,0.7178590672736783
NMO,NMO_12,0.5909107254252491,0.6512704669124837
NMO,NMO_4,0.40827390040959255,0.5250951004809592
NMO,NMO_7,0.5532972218996526,0.7035957932411002
NMO,NMO_6,0.6544448963737575,0.7273995932067469
MOG,MOG_7,0.3387085210758516,0.422227360170016
MOG,MOG_6,0.6029508841602205,0.6404769723881691
MOG,MOG_9,0.47998706339283403,0.6654612866054181
MOG,MOG_11,0.37692265085196935,0.5545561925231729
MOG,MOG_8,0.35932294151568145,0.47270537528954754
MOG,MOG_3,0.25571840934020434,0.35927842316905134
MOG,MOG_2,0.6678130546525992,0.865104190815723
MOG,MOG_10,0.38134358713253746,0.6531662449759347
MOG,MOG_4,0.5048593797652482,0.6239518601642838
MOG,MOG_1,0.37869299897182584,0.5060777084109177
